Economy,Year,Score-Starting a business
Grenada,DB2016,86.8
Grenada,DB2015,86.7
Grenada,DB2014,86.5
Grenada,DB2013,86.9
Grenada,DB2012,86.1
Grenada,DB2011,86.1
Grenada,DB2010,84.9
Grenada,DB2009,84.2
Grenada,DB2008,84
Guatemala,DB2018,77.8
Guatemala,DB2017,77.6
Guatemala,DB2016,77.4
Guatemala,DB2015,77.3
Guatemala,DB2014,74.7
Guatemala,DB2013,64.6
Guatemala,DB2012,64
Guatemala,DB2011,64.3
Guatemala,DB2010,64.5
Guatemala,DB2009,63.7
Guatemala,DB2008,64.2
Guinea,DB2018,79.2
Guinea,DB2017,77.6
Guinea,DB2016,77.4
Guinea,DB2015,52.8
Guinea,DB2014,55.5
Guinea,DB2013,48.3
Guinea,DB2012,34.2
Guinea,DB2011,30.4
Guinea,DB2010,31.5
Guinea,DB2009,32
Guinea,DB2008,31.6
Guinea-Bissau,DB2018,74
Guinea-Bissau,DB2017,73.3
Guinea-Bissau,DB2016,50.6
Guinea-Bissau,DB2015,49.1
Guinea-Bissau,DB2014,52.6
Guinea-Bissau,DB2013,55
Guinea-Bissau,DB2012,49.3
Guinea-Bissau,DB2011,4.3
Guinea-Bissau,DB2010,4.3
Guinea-Bissau,DB2009,2.2
Guinea-Bissau,DB2008,2.2
Guyana,DB2018,85.6
Guyana,DB2017,85.4
Guyana,DB2016,85.4
Guyana,DB2015,85.3
Guyana,DB2014,85.2
Guyana,DB2013,85
Guyana,DB2012,83.4
Guyana,DB2011,81.9
Guyana,DB2010,80.9
Guyana,DB2009,72.2
Guyana,DB2008,70.1
Haiti,DB2018,33.7
Haiti,DB2017,33.6
Haiti,DB2016,33.5
Haiti,DB2015,33.5
Haiti,DB2014,33.4
Haiti,DB2013,32.5
Haiti,DB2012,32.4
Haiti,DB2011,32.5
Haiti,DB2010,31.1
Haiti,DB2009,30.7
Haiti,DB2008,30.3
Honduras,DB2018,69.9
Honduras,DB2017,69.9
Honduras,DB2016,70.1
Honduras,DB2015,65.5
Honduras,DB2014,65.4
Honduras,DB2013,65.3
Honduras,DB2012,65.1
Honduras,DB2011,65
Honduras,DB2010,73.9
Honduras,DB2009,71.6
Honduras,DB2008,70.3
"Hong Kong SAR, China",DB2018,98.1
"Hong Kong SAR, China",DB2017,98.2
"Hong Kong SAR, China",DB2016,98.1
"Hong Kong SAR, China",DB2015,96.4
"Hong Kong SAR, China",DB2014,96.5
"Hong Kong SAR, China",DB2013,96.3
"Hong Kong SAR, China",DB2012,96.3
"Hong Kong SAR, China",DB2011,95.4
"Hong Kong SAR, China",DB2010,95.5
"Hong Kong SAR, China",DB2009,91.2
"Hong Kong SAR, China",DB2008,91.1
Hungary,DB2018,87.6
Hungary,DB2017,87.3
Hungary,DB2016,87.1
Hungary,DB2015,86.6
Hungary,DB2014,89.3
Hungary,DB2013,89.3
Hungary,DB2012,91.4
Hungary,DB2011,91.3
Hungary,DB2010,91.3
Hungary,DB2009,91
Hungary,DB2008,80.8
Iceland,DB2018,90.7
Iceland,DB2017,90.6
Iceland,DB2016,90.4
Iceland,DB2015,90.3
Iceland,DB2014,92.1
Iceland,DB2013,92
Iceland,DB2012,91.9
Iceland,DB2011,92
Iceland,DB2010,91.6
Iceland,DB2009,91.8
Iceland,DB2008,91.8
India,DB2018,73.9
India,DB2017,72.2
India,DB2016,71.7
India,DB2015,61.8
India,DB2014,59.1
India,DB2013,
India,DB2012,
India,DB2011,
India,DB2010,
India,DB2009,
India,DB2008,
India - Delhi,DB2018,74.8
India - Delhi,DB2017,74
India - Delhi,DB2016,73.4
India - Delhi,DB2015,63.6
India - Delhi,DB2014,59.5
India - Delhi,DB2013,
India - Delhi,DB2012,
India - Delhi,DB2011,
India - Delhi,DB2010,
India - Delhi,DB2009,
India - Delhi,DB2008,
India - Mumbai,DB2018,72.8
India - Mumbai,DB2017,70.2
India - Mumbai,DB2016,69.8
India - Mumbai,DB2015,59.9
India - Mumbai,DB2014,58.8
India - Mumbai,DB2013,57.8
India - Mumbai,DB2012,56.9
India - Mumbai,DB2011,53.3
India - Mumbai,DB2010,48
India - Mumbai,DB2009,45.7
India - Mumbai,DB2008,42.8
Indonesia,DB2018,76.1
Indonesia,DB2017,74.6
Indonesia,DB2016,65.7
Indonesia,DB2015,64.1
Indonesia,DB2014,59.1
Indonesia,DB2013,
Indonesia,DB2012,
Indonesia,DB2011,
Indonesia,DB2010,
Indonesia,DB2009,
Indonesia,DB2008,
Indonesia - Jakarta,DB2018,76.8
Indonesia - Jakarta,DB2017,75.8
Indonesia - Jakarta,DB2016,66.2
Indonesia - Jakarta,DB2015,64.3
Indonesia - Jakarta,DB2014,58.1
Indonesia - Jakarta,DB2013,67.6
Indonesia - Jakarta,DB2012,67.2
Indonesia - Jakarta,DB2011,64.8
Indonesia - Jakarta,DB2010,61.2
Indonesia - Jakarta,DB2009,47.1
Indonesia - Jakarta,DB2008,43.5
Indonesia - Surabaya,DB2018,73.6
Indonesia - Surabaya,DB2017,70.4
Indonesia - Surabaya,DB2016,63.9
Indonesia - Surabaya,DB2015,63.2
Indonesia - Surabaya,DB2014,62.7
Indonesia - Surabaya,DB2013,
Indonesia - Surabaya,DB2012,
Indonesia - Surabaya,DB2011,
Indonesia - Surabaya,DB2010,
Indonesia - Surabaya,DB2009,
Indonesia - Surabaya,DB2008,
"Iran, Islamic Rep.",DB2018,67.8
"Iran, Islamic Rep.",DB2017,67.8
"Iran, Islamic Rep.",DB2016,67.6
"Iran, Islamic Rep.",DB2015,67.5
"Iran, Islamic Rep.",DB2014,67.3
"Iran, Islamic Rep.",DB2013,67.3
"Iran, Islamic Rep.",DB2012,70.9
"Iran, Islamic Rep.",DB2011,70.9
"Iran, Islamic Rep.",DB2010,71.4
"Iran, Islamic Rep.",DB2009,65.4
"Iran, Islamic Rep.",DB2008,65.3
Iraq,DB2018,75.9
Iraq,DB2017,71.3
Iraq,DB2016,73.5
Iraq,DB2015,74
Iraq,DB2014,73.8
Iraq,DB2013,68.9
Iraq,DB2012,62
Iraq,DB2011,62.7
Iraq,DB2010,67
Iraq,DB2009,57.5
Iraq,DB2008,64.4
Ireland,DB2018,94.4
Ireland,DB2017,94.4
Ireland,DB2016,92.7
Ireland,DB2015,92.7
Ireland,DB2014,91.7
Ireland,DB2013,91.7
Ireland,DB2012,90.9
Ireland,DB2011,90.9
Ireland,DB2010,90.9
Ireland,DB2009,90.9
Ireland,DB2008,90.9
Israel,DB2018,92.6
Israel,DB2017,92.5
Israel,DB2016,90.8
Israel,DB2015,90.8
Israel,DB2014,90.7
Israel,DB2013,89
Israel,DB2012,89.2
Israel,DB2011,89.2
Israel,DB2010,89.2
Israel,DB2009,89.2
Israel,DB2008,89.2
Italy,DB2018,86.8
Italy,DB2017,86.7
Italy,DB2016,86.7
Italy,DB2015,86.6
Italy,DB2014,84.2
Italy,DB2013,84
Italy,DB2012,83.8
Italy,DB2011,83.7
Italy,DB2010,83.8
Italy,DB2009,85.4
Italy,DB2008,80.2
Jamaica,DB2018,97.3
Jamaica,DB2017,95.6
Jamaica,DB2016,97.3
Jamaica,DB2015,94.3
Jamaica,DB2014,91.9
Jamaica,DB2013,90.2
Jamaica,DB2012,90.1
Jamaica,DB2011,90.1
Jamaica,DB2010,90.1
Jamaica,DB2009,89.8
Jamaica,DB2008,89.7
Japan,DB2018,86.1
Japan,DB2017,86.1
Japan,DB2016,86.1
Japan,DB2015,86.1
Japan,DB2014,86
Japan,DB2013,
Japan,DB2012,
Japan,DB2011,
Japan,DB2010,
Japan,DB2009,
Japan,DB2008,
Japan - Osaka,DB2018,86.3
Japan - Osaka,DB2017,86.3
Japan - Osaka,DB2016,86.3
Japan - Osaka,DB2015,86.3
Japan - Osaka,DB2014,86.1
Japan - Osaka,DB2013,
Japan - Osaka,DB2012,
Japan - Osaka,DB2011,
Japan - Osaka,DB2010,
Japan - Osaka,DB2009,
Japan - Osaka,DB2008,
Japan - Tokyo,DB2018,86
Japan - Tokyo,DB2017,86
Japan - Tokyo,DB2016,86
Japan - Tokyo,DB2015,86
Japan - Tokyo,DB2014,85.9
Japan - Tokyo,DB2013,85.9
Japan - Tokyo,DB2012,85.9
Japan - Tokyo,DB2011,83.1
Japan - Tokyo,DB2010,83.1
Japan - Tokyo,DB2009,83.1
Japan - Tokyo,DB2008,83.1
Jordan,DB2018,84.4
Jordan,DB2017,84.8
Jordan,DB2016,85
Jordan,DB2015,85
Jordan,DB2014,84.9
Jordan,DB2013,84.7
Jordan,DB2012,84.7
Jordan,DB2011,83.1
Jordan,DB2010,82.7
Jordan,DB2009,80.1
Jordan,DB2008,57.7
Kazakhstan,DB2018,91.9
Kazakhstan,DB2017,91.9
Kazakhstan,DB2016,90
Kazakhstan,DB2015,87.2
Kazakhstan,DB2014,86.7
Kazakhstan,DB2013,84.9
Kazakhstan,DB2012,84.1
Kazakhstan,DB2011,83.9
Kazakhstan,DB2010,81.8
Kazakhstan,DB2009,79.9
Kazakhstan,DB2008,79.2
Kenya,DB2018,82.2
Kenya,DB2017,79.3
Kenya,DB2016,70
Kenya,DB2015,67.7
Kenya,DB2014,68.4
Kenya,DB2013,68
Kenya,DB2012,65.5
Kenya,DB2011,65.8
Kenya,DB2010,64.6
Kenya,DB2009,65.1
Kenya,DB2008,62.4
Kiribati,DB2018,77.5
Kiribati,DB2017,78.2
Kiribati,DB2016,76.5
Kiribati,DB2015,76.7
Kiribati,DB2014,76.3
Kiribati,DB2013,76.4
Kiribati,DB2012,76.4
Kiribati,DB2011,76.3
Kiribati,DB2010,76.5
Kiribati,DB2009,73.4
Kiribati,DB2008,74.3
"Korea, Rep.",DB2018,93.4
"Korea, Rep.",DB2017,93.4
"Korea, Rep.",DB2016,91.9
"Korea, Rep.",DB2015,91.9
"Korea, Rep.",DB2014,91.9
"Korea, Rep.",DB2013,91.9
"Korea, Rep.",DB2012,88.7
"Korea, Rep.",DB2011,84.5
"Korea, Rep.",DB2010,84.5
"Korea, Rep.",DB2009,63.7
"Korea, Rep.",DB2008,62
Kosovo,DB2018,95.7
Kosovo,DB2017,95.5
Kosovo,DB2016,93.1
Kosovo,DB2015,93.1
Kosovo,DB2014,84.2
Kosovo,DB2013,74.1
Kosovo,DB2012,62.4
Kosovo,DB2011,61.7
Kosovo,DB2010,65.5
Kosovo,DB2009,
Kosovo,DB2008,
Kuwait,DB2018,77.2
Kuwait,DB2017,66.8
Kuwait,DB2016,74.5
Kuwait,DB2015,70.4
Kuwait,DB2014,70
Kuwait,DB2013,71.4
Kuwait,DB2012,70.4
Kuwait,DB2011,67.5
Kuwait,DB2010,69
Kuwait,DB2009,67.5
Kuwait,DB2008,66.4
Kyrgyz Republic,DB2018,92.9
Kyrgyz Republic,DB2017,92.9
Kyrgyz Republic,DB2016,92.9
Kyrgyz Republic,DB2015,92.9
Kyrgyz Republic,DB2014,92.9
Kyrgyz Republic,DB2013,91.8
Kyrgyz Republic,DB2012,91.8
Kyrgyz Republic,DB2011,91.7
Kyrgyz Republic,DB2010,89.8
Kyrgyz Republic,DB2009,87
Kyrgyz Republic,DB2008,81.8
Lao PDR,DB2018,60.9
Lao PDR,DB2017,60.6
Lao PDR,DB2016,60.5
Lao PDR,DB2015,64.9
Lao PDR,DB2014,64.7
Lao PDR,DB2013,65
Lao PDR,DB2012,65.9
Lao PDR,DB2011,62.1
Lao PDR,DB2010,62
Lao PDR,DB2009,61.6
Lao PDR,DB2008,61.1
Latvia,DB2018,94.1
Latvia,DB2017,94.1
Latvia,DB2016,94.1
Latvia,DB2015,92
Latvia,DB2014,92.3
Latvia,DB2013,91.5
Latvia,DB2012,91.5
Latvia,DB2011,89.2
Latvia,DB2010,89.2
Latvia,DB2009,89
Latvia,DB2008,88.5
Lebanon,DB2018,78.2
Lebanon,DB2017,78.5
Lebanon,DB2016,79.7
Lebanon,DB2015,79.8
Lebanon,DB2014,79.5
Lebanon,DB2013,79.4
Lebanon,DB2012,75.5
Lebanon,DB2011,74.2
Lebanon,DB2010,73.1
Lebanon,DB2009,70.8
Lebanon,DB2008,59.5
Lesotho,DB2018,83.1
Lesotho,DB2017,83
Lesotho,DB2016,82.9
Lesotho,DB2015,82.8
Lesotho,DB2014,82.6
Lesotho,DB2013,82.4
Lesotho,DB2012,77.7
Lesotho,DB2011,77.5
Lesotho,DB2010,77.4
Lesotho,DB2009,75.9
Lesotho,DB2008,65.9
Liberia,DB2018,90.8
Liberia,DB2017,90.6
Liberia,DB2016,90.6
Liberia,DB2015,90.6
Liberia,DB2014,90.3
Liberia,DB2013,85.9
Liberia,DB2012,83.9
Liberia,DB2011,76.5
Liberia,DB2010,76.8
Liberia,DB2009,70.5
Liberia,DB2008,43.1
Libya,DB2018,71.7
Libya,DB2017,71.5
Libya,DB2016,72.6
Libya,DB2015,74.3
Libya,DB2014,74.5
Libya,DB2013,71.4
Libya,DB2012,
Libya,DB2011,
Libya,DB2010,
Libya,DB2009,
Libya,DB2008,
Lithuania,DB2018,93.1
Lithuania,DB2017,93
Lithuania,DB2016,92.9
Lithuania,DB2015,92.4
Lithuania,DB2014,90.1
Lithuania,DB2013,84.3
Lithuania,DB2012,84.7
Lithuania,DB2011,84.6
Lithuania,DB2010,82.5
Lithuania,DB2009,82.2
Lithuania,DB2008,81.5
Luxembourg,DB2018,88.8
Luxembourg,DB2017,88.7
Luxembourg,DB2016,88.4
Luxembourg,DB2015,88.4
Luxembourg,DB2014,88.6
Luxembourg,DB2013,88.6
Luxembourg,DB2012,88.5
Luxembourg,DB2011,88.3
Luxembourg,DB2010,87.2
Luxembourg,DB2009,86.1
Luxembourg,DB2008,85.6
Madagascar,DB2018,87.8
Madagascar,DB2017,81.8
Madagascar,DB2016,78.2
Madagascar,DB2015,79.7
Madagascar,DB2014,79.5
Madagascar,DB2013,79.4
Madagascar,DB2012,79.2
Madagascar,DB2011,63
Madagascar,DB2010,66.6
Madagascar,DB2009,59.4
Madagascar,DB2008,55.6
Malawi,DB2018,76.4
Malawi,DB2017,76.7
Malawi,DB2016,69.7
Malawi,DB2015,67
Malawi,DB2014,61.8
Malawi,DB2013,60
Malawi,DB2012,66.5
Malawi,DB2011,64.3
Malawi,DB2010,64.3
Malawi,DB2009,61.9
Malawi,DB2008,54
Malaysia,DB2018,80.1
Malaysia,DB2017,80
Malaysia,DB2016,89.3
Malaysia,DB2015,89.3
Malaysia,DB2014,88.7
Malaysia,DB2013,87.8
Malaysia,DB2012,87.9
Malaysia,DB2011,81
Malaysia,DB2010,79.6
Malaysia,DB2009,78.6
Malaysia,DB2008,75.4
Maldives,DB2018,89.1
Maldives,DB2017,89
Maldives,DB2016,89
Maldives,DB2015,88.8
Maldives,DB2014,88.8
Maldives,DB2013,88.9
Maldives,DB2012,88.4
Maldives,DB2011,88.3
Maldives,DB2010,88.3
Maldives,DB2009,90.2
Maldives,DB2008,89.9
Mali,DB2018,83.8
Mali,DB2017,84.1
Mali,DB2016,66
Mali,DB2015,62.9
Mali,DB2014,63.4
Mali,DB2013,62.2
Mali,DB2012,60.6
Mali,DB2011,61.6
Mali,DB2010,59
Mali,DB2009,43.3
Mali,DB2008,41.2
Malta,DB2018,84.8
Malta,DB2017,80.2
Malta,DB2016,78
Malta,DB2015,76.6
Malta,DB2014,75.2
Malta,DB2013,75.7
Malta,DB2012,75.6
Malta,DB2011,
Malta,DB2010,
Malta,DB2009,
Malta,DB2008,
Marshall Islands,DB2018,88.5
Marshall Islands,DB2017,88.4
Marshall Islands,DB2016,88.4
Marshall Islands,DB2015,88.4
Marshall Islands,DB2014,88.4
Marshall Islands,DB2013,88.3
Marshall Islands,DB2012,87.8
Marshall Islands,DB2011,87.8
Marshall Islands,DB2010,87.9
Marshall Islands,DB2009,87.8
Marshall Islands,DB2008,87.8
Mauritania,DB2018,91.8
Mauritania,DB2017,86.9
Mauritania,DB2016,86.9
Mauritania,DB2015,66
Mauritania,DB2014,58.2
Mauritania,DB2013,57.1
Mauritania,DB2012,56.6
Mauritania,DB2011,51.6
Mauritania,DB2010,51.2
Mauritania,DB2009,51.5
Mauritania,DB2008,37.4
Mauritius,DB2018,92
Mauritius,DB2017,91.6
Mauritius,DB2016,91.6
Mauritius,DB2015,91.6
Mauritius,DB2014,91.4
Mauritius,DB2013,91.5
Mauritius,DB2012,91.4
Mauritius,DB2011,91.4
Mauritius,DB2010,91.4
Mauritius,DB2009,91.2
Mauritius,DB2008,89.5
Mexico,DB2018,85.8
Mexico,DB2017,85.7
Mexico,DB2016,86.9
Mexico,DB2015,86.8
Mexico,DB2014,86.9
Mexico,DB2013,
Mexico,DB2012,
Mexico,DB2011,
Mexico,DB2010,
Mexico,DB2009,
Mexico,DB2008,
Mexico - Mexico City,DB2018,85.4
Mexico - Mexico City,DB2017,85.3
Mexico - Mexico City,DB2016,86.7
Mexico - Mexico City,DB2015,86.6
Mexico - Mexico City,DB2014,86.7
Mexico - Mexico City,DB2013,86.6
Mexico - Mexico City,DB2012,86.3
Mexico - Mexico City,DB2011,86
Mexico - Mexico City,DB2010,84.4
Mexico - Mexico City,DB2009,82.3
Mexico - Mexico City,DB2008,84
Mexico - Monterrey,DB2018,87.9
Mexico - Monterrey,DB2017,87.9
Mexico - Monterrey,DB2016,87.8
Mexico - Monterrey,DB2015,87.8
Mexico - Monterrey,DB2014,87.8
Mexico - Monterrey,DB2013,
Mexico - Monterrey,DB2012,
Mexico - Monterrey,DB2011,
Mexico - Monterrey,DB2010,
Mexico - Monterrey,DB2009,
Mexico - Monterrey,DB2008,
"Micronesia, Fed. Sts.",DB2018,69.6
"Micronesia, Fed. Sts.",DB2017,69.7
"Micronesia, Fed. Sts.",DB2016,69.6
"Micronesia, Fed. Sts.",DB2015,69.6
"Micronesia, Fed. Sts.",DB2014,69.7
"Micronesia, Fed. Sts.",DB2013,69.8
"Micronesia, Fed. Sts.",DB2012,69.9
"Micronesia, Fed. Sts.",DB2011,70.1
"Micronesia, Fed. Sts.",DB2010,70.3
"Micronesia, Fed. Sts.",DB2009,70.1
"Micronesia, Fed. Sts.",DB2008,70.2
Moldova,DB2018,93.8
Moldova,DB2017,92
Moldova,DB2016,92.2
Moldova,DB2015,90.4
Moldova,DB2014,88.4
Moldova,DB2013,86.3
Moldova,DB2012,86.1
Moldova,DB2011,84.1
Moldova,DB2010,84.3
Moldova,DB2009,80.9
Moldova,DB2008,78.8
Mongolia,DB2018,86.6
Mongolia,DB2017,86.6
Mongolia,DB2016,86.6
Mongolia,DB2015,87.1
Mongolia,DB2014,87.1
Mongolia,DB2013,85.5
Mongolia,DB2012,82.9
Mongolia,DB2011,82.2
Mongolia,DB2010,82.4
Mongolia,DB2009,81.4
Mongolia,DB2008,78.7
Montenegro,DB2018,86.6
Montenegro,DB2017,86.6
Montenegro,DB2016,86.6
Montenegro,DB2015,86.6
Montenegro,DB2014,86.6
Montenegro,DB2013,86.6
Montenegro,DB2012,86.6
Montenegro,DB2011,85.1
Montenegro,DB2010,78.6
Montenegro,DB2009,73.2
Montenegro,DB2008,72.2
Morocco,DB2018,92.5
Morocco,DB2017,90.7
Morocco,DB2016,90.5
Morocco,DB2015,88.7
Morocco,DB2014,88.7
Morocco,DB2013,87.1
Morocco,DB2012,86.4
Morocco,DB2011,86.3
Morocco,DB2010,86.2
Morocco,DB2009,86
Morocco,DB2008,85.6
Mozambique,DB2018,71
Mozambique,DB2017,73.5
Mozambique,DB2016,74.4
Mozambique,DB2015,75.9
Mozambique,DB2014,75.3
Mozambique,DB2013,75
Mozambique,DB2012,75.6
Mozambique,DB2011,74.5
Mozambique,DB2010,69.8
Mozambique,DB2009,60.9
Mozambique,DB2008,62.4
Myanmar,DB2018,75.4
Myanmar,DB2017,75.3
Myanmar,DB2016,64.7
Myanmar,DB2015,17.7
Myanmar,DB2014,16.6
Myanmar,DB2013,15.5
Myanmar,DB2012,
Myanmar,DB2011,
Myanmar,DB2010,
Myanmar,DB2009,
Myanmar,DB2008,
Namibia,DB2018,71.9
Namibia,DB2017,68.9
Namibia,DB2016,68.9
Namibia,DB2015,68.7
Namibia,DB2014,68.5
Namibia,DB2013,68
Namibia,DB2012,68.2
Namibia,DB2011,68
Namibia,DB2010,67.8
Namibia,DB2009,67.5
Namibia,DB2008,59.2
Nepal,DB2018,81.8
Nepal,DB2017,83.8
Nepal,DB2016,83.5
Nepal,DB2015,83
Nepal,DB2014,82.7
Nepal,DB2013,79.9
Nepal,DB2012,79.3
Nepal,DB2011,77.7
Nepal,DB2010,76.8
Nepal,DB2009,76
Nepal,DB2008,74.3
Netherlands,DB2018,94.3
Netherlands,DB2017,94.3
Netherlands,DB2016,94.3
Netherlands,DB2015,94.2
Netherlands,DB2014,94.1
Netherlands,DB2013,89.3
Netherlands,DB2012,86.9
Netherlands,DB2011,86.8
Netherlands,DB2010,87
Netherlands,DB2009,86.8
Netherlands,DB2008,86.7
New Zealand,DB2018,100
New Zealand,DB2017,100
New Zealand,DB2016,100
New Zealand,DB2015,100
New Zealand,DB2014,100
New Zealand,DB2013,100
New Zealand,DB2012,100
New Zealand,DB2011,100
New Zealand,DB2010,99.9
New Zealand,DB2009,100
New Zealand,DB2008,95.6
Nicaragua,DB2018,79.6
Nicaragua,DB2017,79.3
Nicaragua,DB2016,78.8
Nicaragua,DB2015,78.5
Nicaragua,DB2014,70.9
Nicaragua,DB2013,67.5
Nicaragua,DB2012,66.5
Nicaragua,DB2011,66
Nicaragua,DB2010,66.8
Nicaragua,DB2009,65.6
Nicaragua,DB2008,65.8
Niger,DB2018,91.9
Niger,DB2017,84.4
Niger,DB2016,75.9
Niger,DB2015,52.7
Niger,DB2014,51.8
Niger,DB2013,43.3
Niger,DB2012,43.1
Niger,DB2011,42.5
Niger,DB2010,42.5
Niger,DB2009,32.7
Niger,DB2008,31.1
Nigeria,DB2018,80.8
Nigeria,DB2017,79
Nigeria,DB2016,77.6
Nigeria,DB2015,77.4
Nigeria,DB2014,74.2
Nigeria,DB2013,
Nigeria,DB2012,
Nigeria,DB2011,
Nigeria,DB2010,
Nigeria,DB2009,
Nigeria,DB2008,
Nigeria - Kano,DB2018,77.7
Nigeria - Kano,DB2017,76
Nigeria - Kano,DB2016,73.4
Nigeria - Kano,DB2015,73.2
Nigeria - Kano,DB2014,69.9
Nigeria - Kano,DB2013,
Nigeria - Kano,DB2012,
Nigeria - Kano,DB2011,
Nigeria - Kano,DB2010,
Nigeria - Kano,DB2009,
Nigeria - Kano,DB2008,
Nigeria - Lagos,DB2018,81.7
Nigeria - Lagos,DB2017,79.9
Nigeria - Lagos,DB2016,78.9
Nigeria - Lagos,DB2015,78.6
Nigeria - Lagos,DB2014,75.5
Nigeria - Lagos,DB2013,74.9
Nigeria - Lagos,DB2012,74.2
Nigeria - Lagos,DB2011,74.1
Nigeria - Lagos,DB2010,74.3
Nigeria - Lagos,DB2009,73.5
Nigeria - Lagos,DB2008,66
North Macedonia,DB2018,88.6
North Macedonia,DB2017,89
North Macedonia,DB2016,89
North Macedonia,DB2015,89
North Macedonia,DB2014,88.8
North Macedonia,DB2013,90.3
North Macedonia,DB2012,88.5
North Macedonia,DB2011,88.5
North Macedonia,DB2010,86.8
North Macedonia,DB2009,81
North Macedonia,DB2008,76.2
Norway,DB2018,94.3
Norway,DB2017,94.3
Norway,DB2016,94.3
Norway,DB2015,94
Norway,DB2014,92.2
Norway,DB2013,92.2
Norway,DB2012,91.3
Norway,DB2011,91.3
Norway,DB2010,91.3
Norway,DB2009,91.2
Norway,DB2008,90.5
Oman,DB2018,93.5
Oman,DB2017,91.1
Oman,DB2016,70.7
Oman,DB2015,75
Oman,DB2014,74.8
Oman,DB2013,73.9
Oman,DB2012,70.8
Oman,DB2011,68.7
Oman,DB2010,69.8
Oman,DB2009,58.3
Oman,DB2008,47.5
Pakistan,DB2018,76.6
Pakistan,DB2017,75.8
Pakistan,DB2016,75.7
Pakistan,DB2015,75.6
Pakistan,DB2014,75.4
Pakistan,DB2013,
Pakistan,DB2012,
Pakistan,DB2011,
Pakistan,DB2010,
Pakistan,DB2009,
Pakistan,DB2008,
Pakistan - Karachi,DB2018,76.6
Pakistan - Karachi,DB2017,75.8
Pakistan - Karachi,DB2016,75.7
Pakistan - Karachi,DB2015,75.6
Pakistan - Karachi,DB2014,75.4
Pakistan - Karachi,DB2013,75.4
Pakistan - Karachi,DB2012,75.2
Pakistan - Karachi,DB2011,74.9
Pakistan - Karachi,DB2010,75.1
