Economy,Year,Score-Starting a business
Pakistan - Karachi,DB2009,74.7
Pakistan - Karachi,DB2008,74.5
Pakistan - Lahore,DB2018,76.6
Pakistan - Lahore,DB2017,75.8
Pakistan - Lahore,DB2016,75.7
Pakistan - Lahore,DB2015,75.6
Pakistan - Lahore,DB2014,75.4
Pakistan - Lahore,DB2013,
Pakistan - Lahore,DB2012,
Pakistan - Lahore,DB2011,
Pakistan - Lahore,DB2010,
Pakistan - Lahore,DB2009,
Pakistan - Lahore,DB2008,
Palau,DB2018,82
Palau,DB2017,82
Palau,DB2016,81.8
Palau,DB2015,81.8
Palau,DB2014,81.7
Palau,DB2013,81.3
Palau,DB2012,81.1
Palau,DB2011,81.1
Palau,DB2010,81.6
Palau,DB2009,81.5
Palau,DB2008,81.4
Panama,DB2018,91.9
Panama,DB2017,91.9
Panama,DB2016,91.9
Panama,DB2015,91.9
Panama,DB2014,91.8
Panama,DB2013,89.8
Panama,DB2012,89.5
Panama,DB2011,89.2
Panama,DB2010,88.5
Panama,DB2009,88.3
Panama,DB2008,86.6
Papua New Guinea,DB2018,79.9
Papua New Guinea,DB2017,80.5
Papua New Guinea,DB2016,77.3
Papua New Guinea,DB2015,77
Papua New Guinea,DB2014,77
Papua New Guinea,DB2013,77.1
Papua New Guinea,DB2012,76.7
Papua New Guinea,DB2011,76.3
Papua New Guinea,DB2010,77.3
Papua New Guinea,DB2009,77
Papua New Guinea,DB2008,76.7
Paraguay,DB2018,75.2
Paraguay,DB2017,75.2
Paraguay,DB2016,75.3
Paraguay,DB2015,75.3
Paraguay,DB2014,75
Paraguay,DB2013,74.9
Paraguay,DB2012,74.9
Paraguay,DB2011,74.5
Paraguay,DB2010,74.7
Paraguay,DB2009,74.2
Paraguay,DB2008,76.5
Peru,DB2018,78.6
Peru,DB2017,78.6
Peru,DB2016,78.2
Peru,DB2015,77.7
Peru,DB2014,77.6
Peru,DB2013,77.5
Peru,DB2012,77.3
Peru,DB2011,75.6
Peru,DB2010,74.6
Peru,DB2009,65.4
Peru,DB2008,63.2
Philippines,DB2018,64.2
Philippines,DB2017,67.6
Philippines,DB2016,67.6
Philippines,DB2015,67.2
Philippines,DB2014,66.2
Philippines,DB2013,66.1
Philippines,DB2012,66
Philippines,DB2011,63.8
Philippines,DB2010,62.6
Philippines,DB2009,63.9
Philippines,DB2008,63.3
Poland,DB2018,82.8
Poland,DB2017,82.8
Poland,DB2016,82.7
Poland,DB2015,82.6
Poland,DB2014,82.5
Poland,DB2013,79
Poland,DB2012,78.6
Poland,DB2011,78.5
Poland,DB2010,78.5
Poland,DB2009,61.4
Poland,DB2008,59.4
Portugal,DB2018,90.9
Portugal,DB2017,91
Portugal,DB2016,91
Portugal,DB2015,91
Portugal,DB2014,92.4
Portugal,DB2013,90.7
Portugal,DB2012,90.7
Portugal,DB2011,88.1
Portugal,DB2010,88.1
Portugal,DB2009,88.1
Portugal,DB2008,86.3
Puerto Rico,DB2018,91.3
Puerto Rico,DB2017,91.2
Puerto Rico,DB2016,91.1
Puerto Rico,DB2015,91.1
Puerto Rico,DB2014,91.1
Puerto Rico,DB2013,91.1
Puerto Rico,DB2012,91.1
Puerto Rico,DB2011,89.3
Puerto Rico,DB2010,89.3
Puerto Rico,DB2009,89.3
Puerto Rico,DB2008,89.3
Qatar,DB2018,84.3
Qatar,DB2017,84.4
Qatar,DB2016,80.6
Qatar,DB2015,80.6
Qatar,DB2014,80.6
Qatar,DB2013,80.7
Qatar,DB2012,79.5
Qatar,DB2011,76.9
Qatar,DB2010,82.3
Qatar,DB2009,81.2
Qatar,DB2008,81.2
Romania,DB2018,89.7
Romania,DB2017,89.5
Romania,DB2016,90.5
Romania,DB2015,90.4
Romania,DB2014,90.4
Romania,DB2013,88.9
Romania,DB2012,87.8
Romania,DB2011,90.4
Romania,DB2010,90.3
Romania,DB2009,90.2
Romania,DB2008,90.1
Russian Federation,DB2018,93
Russian Federation,DB2017,93
Russian Federation,DB2016,91.8
Russian Federation,DB2015,91.6
Russian Federation,DB2014,88.6
Russian Federation,DB2013,
Russian Federation,DB2012,
Russian Federation,DB2011,
Russian Federation,DB2010,
Russian Federation,DB2009,
Russian Federation,DB2008,
Russian Federation - Moscow,DB2018,92.8
Russian Federation - Moscow,DB2017,92.8
Russian Federation - Moscow,DB2016,91.1
Russian Federation - Moscow,DB2015,90.8
Russian Federation - Moscow,DB2014,87.3
Russian Federation - Moscow,DB2013,84.9
Russian Federation - Moscow,DB2012,82.1
Russian Federation - Moscow,DB2011,82.1
Russian Federation - Moscow,DB2010,82.2
Russian Federation - Moscow,DB2009,82
Russian Federation - Moscow,DB2008,81.7
Russian Federation - Saint Petersburg,DB2018,93.6
Russian Federation - Saint Petersburg,DB2017,93.6
Russian Federation - Saint Petersburg,DB2016,93.5
Russian Federation - Saint Petersburg,DB2015,93.5
Russian Federation - Saint Petersburg,DB2014,91.7
Russian Federation - Saint Petersburg,DB2013,
Russian Federation - Saint Petersburg,DB2012,
Russian Federation - Saint Petersburg,DB2011,
Russian Federation - Saint Petersburg,DB2010,
Russian Federation - Saint Petersburg,DB2009,
Russian Federation - Saint Petersburg,DB2008,
Rwanda,DB2018,87.7
Rwanda,DB2017,87.2
Rwanda,DB2016,82.9
Rwanda,DB2015,80.6
Rwanda,DB2014,85.7
Rwanda,DB2013,85.5
Rwanda,DB2012,90.4
Rwanda,DB2011,89.9
Rwanda,DB2010,89.8
Rwanda,DB2009,72.7
Rwanda,DB2008,62.9
Samoa,DB2018,92.5
Samoa,DB2017,92.5
Samoa,DB2016,92.5
Samoa,DB2015,92.3
Samoa,DB2014,92.3
Samoa,DB2013,92.3
Samoa,DB2012,92.2
Samoa,DB2011,92.2
Samoa,DB2010,92.2
Samoa,DB2009,76.1
Samoa,DB2008,75.9
San Marino,DB2018,83.6
San Marino,DB2017,83.8
San Marino,DB2016,83.7
San Marino,DB2015,77.8
San Marino,DB2014,75.2
San Marino,DB2013,75.4
San Marino,DB2012,
San Marino,DB2011,
San Marino,DB2010,
San Marino,DB2009,
San Marino,DB2008,
S?o Tom‚ and Pr¡ncipe,DB2018,77.3
S?o Tom‚ and Pr¡ncipe,DB2017,75.3
S?o Tom‚ and Pr¡ncipe,DB2016,73.8
S?o Tom‚ and Pr¡ncipe,DB2015,72.9
S?o Tom‚ and Pr¡ncipe,DB2014,69.3
S?o Tom‚ and Pr¡ncipe,DB2013,69
S?o Tom‚ and Pr¡ncipe,DB2012,64.6
S?o Tom‚ and Pr¡ncipe,DB2011,23.6
S?o Tom‚ and Pr¡ncipe,DB2010,48
S?o Tom‚ and Pr¡ncipe,DB2009,45.8
S?o Tom‚ and Pr¡ncipe,DB2008,43.7
Saudi Arabia,DB2018,80
Saudi Arabia,DB2017,75.4
Saudi Arabia,DB2016,74.4
Saudi Arabia,DB2015,74
Saudi Arabia,DB2014,73.9
Saudi Arabia,DB2013,74
Saudi Arabia,DB2012,73
Saudi Arabia,DB2011,72.8
Saudi Arabia,DB2010,73.1
Saudi Arabia,DB2009,73.3
Saudi Arabia,DB2008,71.8
Senegal,DB2018,89.7
Senegal,DB2017,86.1
Senegal,DB2016,86
Senegal,DB2015,85
Senegal,DB2014,74.2
Senegal,DB2013,74.1
Senegal,DB2012,73
Senegal,DB2011,71.3
Senegal,DB2010,71.1
Senegal,DB2009,68.1
Senegal,DB2008,41.5
Serbia,DB2018,92.6
Serbia,DB2017,91.8
Serbia,DB2016,89.1
Serbia,DB2015,89
Serbia,DB2014,88.9
Serbia,DB2013,88.8
Serbia,DB2012,86.7
Serbia,DB2011,86.7
Serbia,DB2010,86.8
Serbia,DB2009,78.3
Serbia,DB2008,78
Seychelles,DB2018,78.7
Seychelles,DB2017,78.6
Seychelles,DB2016,78.5
Seychelles,DB2015,78.4
Seychelles,DB2014,78.3
Seychelles,DB2013,76.9
Seychelles,DB2012,76.7
Seychelles,DB2011,76.5
Seychelles,DB2010,76.2
Seychelles,DB2009,75.2
Seychelles,DB2008,74.9
Sierra Leone,DB2018,90.9
Sierra Leone,DB2017,91.2
Sierra Leone,DB2016,84.7
Sierra Leone,DB2015,84.5
Sierra Leone,DB2014,83.7
Sierra Leone,DB2013,78.7
Sierra Leone,DB2012,76.9
Sierra Leone,DB2011,74.5
Sierra Leone,DB2010,73.4
Sierra Leone,DB2009,68.4
Sierra Leone,DB2008,56.1
Singapore,DB2018,96.5
Singapore,DB2017,96.5
Singapore,DB2016,96.5
Singapore,DB2015,96.5
Singapore,DB2014,96.5
Singapore,DB2013,96.5
Singapore,DB2012,96.5
Singapore,DB2011,96.5
Singapore,DB2010,96.5
Singapore,DB2009,94.7
Singapore,DB2008,92.9
Slovak Republic,DB2018,82
Slovak Republic,DB2017,81.9
Slovak Republic,DB2016,81.8
Slovak Republic,DB2015,80.3
Slovak Republic,DB2014,78.5
Slovak Republic,DB2013,81.1
Slovak Republic,DB2012,81.1
Slovak Republic,DB2011,81
Slovak Republic,DB2010,80.9
Slovak Republic,DB2009,80.4
Slovak Republic,DB2008,74.9
Slovenia,DB2018,94.7
Slovenia,DB2017,94.6
Slovenia,DB2016,94.5
Slovenia,DB2015,94.4
Slovenia,DB2014,94.4
Slovenia,DB2013,94.4
Slovenia,DB2012,94.4
Slovenia,DB2011,94.3
Slovenia,DB2010,93
Slovenia,DB2009,83.2
Slovenia,DB2008,65.8
Solomon Islands,DB2018,85.4
Solomon Islands,DB2017,85.5
Solomon Islands,DB2016,85.1
Solomon Islands,DB2015,84.6
Solomon Islands,DB2014,83.1
Solomon Islands,DB2013,83.6
Solomon Islands,DB2012,74.2
Solomon Islands,DB2011,67.7
Solomon Islands,DB2010,68.7
Solomon Islands,DB2009,65.8
Solomon Islands,DB2008,64.8
Somalia,DB2018,45.8
Somalia,DB2017,48.7
Somalia,DB2016,48.3
Somalia,DB2015,
Somalia,DB2014,
Somalia,DB2013,
Somalia,DB2012,
Somalia,DB2011,
Somalia,DB2010,
Somalia,DB2009,
Somalia,DB2008,
South Africa,DB2018,80
South Africa,DB2017,80
South Africa,DB2016,79.7
South Africa,DB2015,79.7
South Africa,DB2014,81.4
South Africa,DB2013,81.4
South Africa,DB2012,81.4
South Africa,DB2011,80.7
South Africa,DB2010,80.7
South Africa,DB2009,80.7
South Africa,DB2008,75.6
South Sudan,DB2018,55.7
South Sudan,DB2017,54
South Sudan,DB2016,54
South Sudan,DB2015,54
South Sudan,DB2014,54
South Sudan,DB2013,54.9
South Sudan,DB2012,
South Sudan,DB2011,
South Sudan,DB2010,
South Sudan,DB2009,
South Sudan,DB2008,
Spain,DB2018,86.7
Spain,DB2017,86.7
Spain,DB2016,86.4
Spain,DB2015,86.4
Spain,DB2014,77.9
Spain,DB2013,76.4
Spain,DB2012,78.2
Spain,DB2011,71.1
Spain,DB2010,68.9
Spain,DB2009,68.9
Spain,DB2008,69.1
Sri Lanka,DB2018,87.7
Sri Lanka,DB2017,87.5
Sri Lanka,DB2016,85
Sri Lanka,DB2015,83
Sri Lanka,DB2014,82.3
Sri Lanka,DB2013,82.3
Sri Lanka,DB2012,75.8
Sri Lanka,DB2011,74.6
Sri Lanka,DB2010,72.1
Sri Lanka,DB2009,71.4
Sri Lanka,DB2008,75.3
St. Kitts and Nevis,DB2018,85.8
St. Kitts and Nevis,DB2017,85.8
St. Kitts and Nevis,DB2016,85.7
St. Kitts and Nevis,DB2015,85.6
St. Kitts and Nevis,DB2014,85.6
St. Kitts and Nevis,DB2013,85.4
St. Kitts and Nevis,DB2012,85.1
St. Kitts and Nevis,DB2011,85.1
St. Kitts and Nevis,DB2010,85.1
St. Kitts and Nevis,DB2009,85
St. Kitts and Nevis,DB2008,83.9
St. Lucia,DB2018,88.8
St. Lucia,DB2017,88.8
St. Lucia,DB2016,88.7
St. Lucia,DB2015,88.6
St. Lucia,DB2014,89.2
St. Lucia,DB2013,89.3
St. Lucia,DB2012,88.4
St. Lucia,DB2011,87.8
St. Lucia,DB2010,88
St. Lucia,DB2009,84.9
St. Lucia,DB2008,84.8
St. Vincent and the Grenadines,DB2018,86.8
St. Vincent and the Grenadines,DB2017,86.8
St. Vincent and the Grenadines,DB2016,86.7
St. Vincent and the Grenadines,DB2015,86.7
St. Vincent and the Grenadines,DB2014,86.6
St. Vincent and the Grenadines,DB2013,86.5
St. Vincent and the Grenadines,DB2012,86
St. Vincent and the Grenadines,DB2011,86.1
St. Vincent and the Grenadines,DB2010,85.9
St. Vincent and the Grenadines,DB2009,83.5
St. Vincent and the Grenadines,DB2008,83.2
Sudan,DB2018,73.5
Sudan,DB2017,73.2
Sudan,DB2016,75.1
Sudan,DB2015,73.8
Sudan,DB2014,73.5
Sudan,DB2013,73.5
Sudan,DB2012,71.5
Sudan,DB2011,70.9
Sudan,DB2010,72.3
Sudan,DB2009,70.1
Sudan,DB2008,69.3
Suriname,DB2018,61.5
Suriname,DB2017,61.2
Suriname,DB2016,48.8
Suriname,DB2015,48.8
Suriname,DB2014,44.6
Suriname,DB2013,44.2
Suriname,DB2012,43.7
Suriname,DB2011,43
Suriname,DB2010,42.7
Suriname,DB2009,42.3
Suriname,DB2008,40.1
Sweden,DB2018,94.7
Sweden,DB2017,94.6
Sweden,DB2016,94.6
Sweden,DB2015,92.3
Sweden,DB2014,92.3
Sweden,DB2013,92.3
Sweden,DB2012,92.2
Sweden,DB2011,92.2
Sweden,DB2010,91.3
Sweden,DB2009,91.2
Sweden,DB2008,91.1
Switzerland,DB2018,88.4
Switzerland,DB2017,88.4
Switzerland,DB2016,88.4
Switzerland,DB2015,88.4
Switzerland,DB2014,86.4
Switzerland,DB2013,86.3
Switzerland,DB2012,86.3
Switzerland,DB2011,86.3
Switzerland,DB2010,86.3
Switzerland,DB2009,86.2
Switzerland,DB2008,87.1
Syrian Arab Republic,DB2018,80.4
Syrian Arab Republic,DB2017,78.9
Syrian Arab Republic,DB2016,78.9
Syrian Arab Republic,DB2015,68.4
Syrian Arab Republic,DB2014,71.8
Syrian Arab Republic,DB2013,66.1
Syrian Arab Republic,DB2012,65.1
Syrian Arab Republic,DB2011,60.2
Syrian Arab Republic,DB2010,58.2
Syrian Arab Republic,DB2009,57.7
Syrian Arab Republic,DB2008,38.8
"Taiwan, China",DB2018,94.4
"Taiwan, China",DB2017,94.4
"Taiwan, China",DB2016,94.4
"Taiwan, China",DB2015,94.4
"Taiwan, China",DB2014,94.4
"Taiwan, China",DB2013,94.4
"Taiwan, China",DB2012,94.4
"Taiwan, China",DB2011,88.5
"Taiwan, China",DB2010,86.8
"Taiwan, China",DB2009,68.2
"Taiwan, China",DB2008,66.1
Tajikistan,DB2018,90.8
Tajikistan,DB2017,86.9
Tajikistan,DB2016,90.3
Tajikistan,DB2015,85.8
Tajikistan,DB2014,85.5
Tajikistan,DB2013,87.6
Tajikistan,DB2012,86.8
Tajikistan,DB2011,80.7
Tajikistan,DB2010,69.7
Tajikistan,DB2009,48.9
Tajikistan,DB2008,41.5
Tanzania,DB2018,72.1
Tanzania,DB2017,71.4
Tanzania,DB2016,68.5
Tanzania,DB2015,68.9
Tanzania,DB2014,68.7
Tanzania,DB2013,67.3
Tanzania,DB2012,64.3
Tanzania,DB2011,63.4
Tanzania,DB2010,60.9
Tanzania,DB2009,59
Tanzania,DB2008,56.5
Thailand,DB2018,92
Thailand,DB2017,84.7
Thailand,DB2016,82.7
Thailand,DB2015,82.7
Thailand,DB2014,82.7
Thailand,DB2013,82.7
Thailand,DB2012,80.9
Thailand,DB2011,78.9
Thailand,DB2010,77.7
Thailand,DB2009,76.3
Thailand,DB2008,76.1
Timor-Leste,DB2018,72.6
Timor-Leste,DB2017,74.4
Timor-Leste,DB2016,80.9
Timor-Leste,DB2015,81
Timor-Leste,DB2014,58.1
Timor-Leste,DB2013,57.9
Timor-Leste,DB2012,52.1
Timor-Leste,DB2011,45.6
Timor-Leste,DB2010,41.9
Timor-Leste,DB2009,38.7
Timor-Leste,DB2008,33.7
Togo,DB2018,82.5
Togo,DB2017,81.7
Togo,DB2016,78.4
Togo,DB2015,76.1
Togo,DB2014,47.1
Togo,DB2013,40.4
Togo,DB2012,23
Togo,DB2011,22.9
Togo,DB2010,20.2
Togo,DB2009,17.4
Togo,DB2008,17.4
Tonga,DB2018,90.8
Tonga,DB2017,90.8
Tonga,DB2016,90.8
Tonga,DB2015,90.8
Tonga,DB2014,90.8
Tonga,DB2013,90.7
Tonga,DB2012,90.4
Tonga,DB2011,88.6
Tonga,DB2010,88.4
Tonga,DB2009,88.2
Tonga,DB2008,86.3
Trinidad and Tobago,DB2018,88.6
Trinidad and Tobago,DB2017,88.6
Trinidad and Tobago,DB2016,88.3
Trinidad and Tobago,DB2015,88.3
Trinidad and Tobago,DB2014,82.3
Trinidad and Tobago,DB2013,79.7
Trinidad and Tobago,DB2012,79.7
Trinidad and Tobago,DB2011,79.7
Trinidad and Tobago,DB2010,78
Trinidad and Tobago,DB2009,78
Trinidad and Tobago,DB2008,77.9
Tunisia,DB2018,81.6
Tunisia,DB2017,81.6
Tunisia,DB2016,81.7
Tunisia,DB2015,81.6
Tunisia,DB2014,81.6
Tunisia,DB2013,81.6
Tunisia,DB2012,81.6
Tunisia,DB2011,81.5
Tunisia,DB2010,81.4
Tunisia,DB2009,81.2
Tunisia,DB2008,79.5
Turkey,DB2018,81.9
Turkey,DB2017,81
Turkey,DB2016,79.2
Turkey,DB2015,79.1
Turkey,DB2014,81
Turkey,DB2013,81.6
Turkey,DB2012,81.4
Turkey,DB2011,81.4
Turkey,DB2010,81.8
Turkey,DB2009,81.6
Turkey,DB2008,80.5
Uganda,DB2018,71.1
Uganda,DB2017,70.2
Uganda,DB2016,68.2
Uganda,DB2015,65.1
Uganda,DB2014,64.2
Uganda,DB2013,64.1
Uganda,DB2012,63.9
Uganda,DB2011,59.7
Uganda,DB2010,59.3
Uganda,DB2009,57.2
Uganda,DB2008,57.6
Ukraine,DB2018,91
Ukraine,DB2017,91
Ukraine,DB2016,92.1
Ukraine,DB2015,85.6
Ukraine,DB2014,85.5
Ukraine,DB2013,83.8
Ukraine,DB2012,79.8
Ukraine,DB2011,77.4
Ukraine,DB2010,67.9
Ukraine,DB2009,66.6
Ukraine,DB2008,64.5
United Arab Emirates,DB2018,91.2
United Arab Emirates,DB2017,91.2
United Arab Emirates,DB2016,88.5
United Arab Emirates,DB2015,88.5
United Arab Emirates,DB2014,88.5
United Arab Emirates,DB2013,88.5
United Arab Emirates,DB2012,85.5
United Arab Emirates,DB2011,83.6
United Arab Emirates,DB2010,83.8
United Arab Emirates,DB2009,71.2
United Arab Emirates,DB2008,70.8
United Kingdom,DB2018,94.6
United Kingdom,DB2017,94.6
United Kingdom,DB2016,94.6
United Kingdom,DB2015,91.2
United Kingdom,DB2014,89.8
United Kingdom,DB2013,89.8
United Kingdom,DB2012,89.8
United Kingdom,DB2011,89.8
United Kingdom,DB2010,89.8
United Kingdom,DB2009,89.8
United Kingdom,DB2008,89.8
United States,DB2018,91.2
United States,DB2017,91.2
United States,DB2016,91.2
United States,DB2015,91.2
United States,DB2014,91.1
United States,DB2013,
United States,DB2012,
United States,DB2011,
United States,DB2010,
United States,DB2009,
United States,DB2008,
United States - Los Angeles,DB2018,90.7
United States - Los Angeles,DB2017,90.7
United States - Los Angeles,DB2016,90.7
United States - Los Angeles,DB2015,90.7
United States - Los Angeles,DB2014,90.7
United States - Los Angeles,DB2013,
United States - Los Angeles,DB2012,
United States - Los Angeles,DB2011,
United States - Los Angeles,DB2010,
United States - Los Angeles,DB2009,
United States - Los Angeles,DB2008,
United States - New York City,DB2018,91.6
United States - New York City,DB2017,91.6
United States - New York City,DB2016,91.6
United States - New York City,DB2015,91.6
United States - New York City,DB2014,91.3
United States - New York City,DB2013,91.3
United States - New York City,DB2012,91.3
United States - New York City,DB2011,91.3
United States - New York City,DB2010,91.4
United States - New York City,DB2009,91.4
United States - New York City,DB2008,91.2
Uruguay,DB2018,89.8
Uruguay,DB2017,89.8
Uruguay,DB2016,89.9
Uruguay,DB2015,89.8
Uruguay,DB2014,89.7
Uruguay,DB2013,89.6
Uruguay,DB2012,89.5
Uruguay,DB2011,64.1
Uruguay,DB2010,64.3
Uruguay,DB2009,69.2
Uruguay,DB2008,57.6
Uzbekistan,DB2018,95.5
Uzbekistan,DB2017,93.9
Uzbekistan,DB2016,93.9
Uzbekistan,DB2015,90.5
Uzbekistan,DB2014,90.4
Uzbekistan,DB2013,84.9
Uzbekistan,DB2012,84.2
Uzbekistan,DB2011,81.5
Uzbekistan,DB2010,82.7
Uzbekistan,DB2009,82.7
Uzbekistan,DB2008,81.8
Vanuatu,DB2018,81.2
Vanuatu,DB2017,81.2
Vanuatu,DB2016,75.5
Vanuatu,DB2015,75.3
Vanuatu,DB2014,75.3
Vanuatu,DB2013,75.6
Vanuatu,DB2012,75.7
Vanuatu,DB2011,72
Vanuatu,DB2010,71.3
Vanuatu,DB2009,69.3
Vanuatu,DB2008,69.3
"Venezuela, RB",DB2018,25
"Venezuela, RB",DB2017,32.9
"Venezuela, RB",DB2016,38.9
"Venezuela, RB",DB2015,43.8
"Venezuela, RB",DB2014,45.5
"Venezuela, RB",DB2013,46.5
"Venezuela, RB",DB2012,46.7
"Venezuela, RB",DB2011,46.2
"Venezuela, RB",DB2010,47
"Venezuela, RB",DB2009,46.6
"Venezuela, RB",DB2008,48.7
Vietnam,DB2018,82
Vietnam,DB2017,81.8
Vietnam,DB2016,82.7
Vietnam,DB2015,79.2
Vietnam,DB2014,78.9
Vietnam,DB2013,79.2
Vietnam,DB2012,78
Vietnam,DB2011,77.8
Vietnam,DB2010,75.9
Vietnam,DB2009,75.5
Vietnam,DB2008,75.1
West Bank and Gaza,DB2018,69.6
West Bank and Gaza,DB2017,69.4
West Bank and Gaza,DB2016,64.8
West Bank and Gaza,DB2015,64.3
West Bank and Gaza,DB2014,63.4
West Bank and Gaza,DB2013,46.4
West Bank and Gaza,DB2012,41.7
West Bank and Gaza,DB2011,42
West Bank and Gaza,DB2010,47.2
West Bank and Gaza,DB2009,53.6
West Bank and Gaza,DB2008,45.8
"Yemen, Rep.",DB2018,72.7
"Yemen, Rep.",DB2017,71.6
"Yemen, Rep.",DB2016,73.4
"Yemen, Rep.",DB2015,73.6
"Yemen, Rep.",DB2014,73.6
"Yemen, Rep.",DB2013,72.9
"Yemen, Rep.",DB2012,78.4
"Yemen, Rep.",DB2011,78.6
"Yemen, Rep.",DB2010,78.5
"Yemen, Rep.",DB2009,75.6
"Yemen, Rep.",DB2008,19.9
Zambia,DB2018,84.9
Zambia,DB2017,84.8
Zambia,DB2016,84.9
Zambia,DB2015,84.9
Zambia,DB2014,85.1
Zambia,DB2013,81.8
Zambia,DB2012,83.2
Zambia,DB2011,83
Zambia,DB2010,82.9
Zambia,DB2009,82.9
Zambia,DB2008,78.8
Zimbabwe,DB2018,59.3
Zimbabwe,DB2017,48.8
Zimbabwe,DB2016,49.2
Zimbabwe,DB2015,49
Zimbabwe,DB2014,47.9
Zimbabwe,DB2013,49.2
Zimbabwe,DB2012,45.5
Zimbabwe,DB2011,40.2
Zimbabwe,DB2010,38.3
Zimbabwe,DB2009,38.3
Zimbabwe,DB2008,38.3
